"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LE9","1206-RGB","10.3957mm","10.4049mm","11.0198mm","10.7329mm","9.9221mm","10.156mm","T","27.73","LED RGB V"
"LE8","1206-RGB","23.0411mm","10.2447mm","23.7461mm","10.2447mm","21.1761mm","10.2447mm","T","360.00","LED RGB V"
"LE7","1206-RGB","37.9561mm","10.2447mm","38.6611mm","10.2447mm","37.4211mm","10.2447mm","T","360.00","LED RGB V"
"LE6","1206-RGB","54.1265mm","10.2447mm","54.8315mm","10.2447mm","52.2615mm","10.2447mm","T","360.00","LED RGB V"
"LE5","1206-RGB","67.4066mm","10.2103mm","68.0883mm","10.39mm","65.6032mm","9.7349mm","T","14.77","LED RGB V"
"LE4","1206-RGB","80.3006mm","12.9967mm","80.8454mm","13.4441mm","79.8872mm","12.6571mm","T","39.40","LED RGB V"
"LE3","1206-RGB","83.2416mm","19.4847mm","83.4698mm","20.1517mm","82.6377mm","17.7202mm","T","71.11","LED RGB V"
"LE2","1206-RGB","85.3915mm","27.0672mm","85.2572mm","27.7592mm","85.4934mm","26.542mm","T","100.98","LED RGB V"
"LE1","1206-RGB","86.5364mm","33.3381mm","86.3389mm","34.0148mm","87.059mm","31.5477mm","T","106.27","LED RGB V"
"CON3","12PIN-0.5MM","4.146mm","17.4447mm","5.5461mm","17.1947mm","5.5461mm","14.6947mm","T","90.00",""
"U3","SSOP-28","30.6187mm","7.9341mm","33.4961mm","9.8197mm","27.2446mm","12.068mm","T","360.00","VS12L03A"
"R31","0603R","25.8537mm","21.9899mm","25.8711mm","21.9947mm","25.0917mm","21.9899mm","T","360.00","0ohm"
"R18","0603R","18.0385mm","6.8995mm","18.0211mm","6.8947mm","18.8005mm","6.8995mm","T","180.00","NC"
"EC5","1210","24.7184mm","18.1515mm","26.4907mm","18.1447mm","26.5081mm","18.1539mm","T","180.00","47uF"
"C8","0603R","41.4537mm","4.4399mm","41.4711mm","4.4447mm","40.6917mm","4.4399mm","T","360.00","NC"
"C6","0603C","27.2935mm","20.5322mm","27.2961mm","20.5447mm","26.5315mm","20.5322mm","T","360.00","0.1uF"
"JL5","5PIN-1.5MM","14.9211mm","22.6197mm","14.921mm","20.7697mm","11.9211mm","20.7697mm","T","360.00",""

